FTR,B365H,B365D,B365A,ganancia
D,2.0,3.4,3.75,2.4
D,2.63,3.0,2.88,2.0
D,2.1,3.25,3.6,2.25
H,2.05,3.25,3.75,-1.0
H,3.0,3.0,2.5,-1.0
A,2.0,3.0,4.33,-1.0
A,2.5,3.0,3.0,-1.0
D,3.2,3.0,2.4,2.0
H,2.05,3.3,3.6,-1.0
D,2.38,3.1,3.1,2.1
H,2.05,3.1,4.0,-1.0
D,2.4,3.2,3.0,2.2
D,2.38,3.0,3.25,2.0
D,2.2,3.1,3.5,2.1
D,2.4,3.0,3.2,2.0
D,2.2,3.2,3.4,2.2
H,2.88,3.2,2.5,-1.0
H,2.15,3.2,3.4,-1.0
H,2.3,3.0,3.4,-1.0
D,2.6,3.2,2.7,2.2
D,2.25,3.1,3.4,2.1
D,2.25,3.1,3.4,2.1
D,2.3,3.1,3.25,2.1
H,2.4,3.25,2.9,-1.0
H,2.0,3.2,4.0,-1.0
H,2.7,3.1,2.7,-1.0
H,2.3,3.1,3.2,-1.0
D,2.0,3.3,3.8,2.3
D,2.5,3.0,3.0,2.0
H,2.63,3.2,2.7,-1.0
H,2.2,3.0,3.6,-1.0
H,2.25,3.2,3.25,-1.0
A,2.1,3.3,3.5,-1.0
H,2.0,3.4,3.75,-1.0
H,2.3,3.25,3.1,-1.0
H,2.45,3.2,2.9,-1.0
H,2.45,3.25,2.88,-1.0
A,2.05,3.2,3.8,-1.0
H,2.3,3.1,3.3,-1.0
D,2.4,3.1,3.1,2.1
H,2.55,3.25,2.75,-1.0
H,2.45,3.0,3.1,-1.0
D,2.6,3.0,2.88,2.0
H,2.05,3.3,3.6,-1.0
D,2.25,3.4,3.1,2.4
A,2.6,3.3,2.63,-1.0
D,2.5,3.2,2.8,2.2
A,2.05,3.3,3.6,-1.0
A,2.15,3.25,3.4,-1.0
A,2.1,3.3,3.5,-1.0
H,2.3,3.4,3.0,-1.0
H,2.4,3.25,2.9,-1.0
D,2.9,3.4,2.38,2.4
H,2.1,3.3,3.5,-1.0
D,2.0,3.3,3.8,2.3
H,2.1,3.3,3.5,-1.0
H,2.38,3.3,2.9,-1.0
D,2.1,3.3,3.5,2.3
D,2.05,3.1,4.0,2.1
D,2.15,3.2,3.5,2.2
D,2.0,3.3,3.75,2.3
D,2.0,3.1,4.2,2.1
D,2.1,3.25,3.6,2.25
D,2.4,3.1,3.1,2.1
H,2.88,3.1,2.55,-1.0
D,2.88,3.2,2.45,2.2
D,2.75,3.2,2.6,2.2
D,2.15,3.2,3.5,2.2
H,2.6,3.1,2.8,-1.0
D,2.0,3.1,4.2,2.1
H,2.05,3.3,3.6,-1.0
A,2.45,3.0,3.1,-1.0
A,2.4,3.0,3.2,-1.0
D,2.0,3.1,4.2,2.1
A,2.25,3.0,3.5,-1.0
D,2.38,3.0,3.2,2.0
D,2.0,3.1,4.2,2.1
A,2.05,3.1,4.0,-1.0
H,2.05,3.1,4.0,-1.0
H,2.05,3.2,3.8,-1.0
D,2.3,3.0,3.4,2.0
H,2.1,3.1,3.8,-1.0
D,2.0,3.1,4.2,2.1
D,2.2,3.0,3.6,2.0
H,2.1,3.1,3.75,-1.0
H,2.25,3.2,3.3,-1.0
H,2.0,3.2,4.0,-1.0
D,2.5,3.0,3.0,2.0
A,2.0,3.3,3.8,-1.0
H,2.45,3.0,3.1,-1.0
A,2.3,3.0,3.4,-1.0
H,2.1,3.1,3.75,-1.0
H,2.25,3.2,3.2,-1.0
A,2.05,3.2,3.8,-1.0
D,2.0,3.2,4.0,2.2
D,2.05,3.25,3.75,2.25
A,3.0,3.0,2.5,-1.0
A,2.25,3.2,3.3,-1.0
H,2.15,3.0,3.75,-1.0
H,2.5,3.0,3.0,-1.0
H,2.75,3.0,2.7,-1.0
H,2.25,3.1,3.4,-1.0
D,2.0,3.1,4.2,2.1
H,2.38,3.1,3.1,-1.0
H,2.5,3.0,3.0,-1.0
H,2.0,3.4,3.75,-1.0
H,2.3,3.3,3.1,-1.0
H,2.75,3.0,2.75,-1.0
H,2.3,3.1,3.3,-1.0
D,2.5,3.3,2.75,2.3
H,2.05,3.1,4.0,-1.0
H,2.1,3.25,3.6,-1.0
H,2.38,3.0,3.25,-1.0
H,2.2,3.0,3.6,-1.0
A,2.2,3.1,3.5,-1.0
H,2.2,3.1,3.5,-1.0
D,2.05,3.2,3.8,2.2
A,2.4,3.0,3.2,-1.0
H,2.45,3.0,3.1,-1.0
A,2.75,3.0,2.7,-1.0
H,2.15,3.1,3.6,-1.0
H,2.3,3.1,3.2,-1.0
H,2.05,3.3,3.6,-1.0
A,2.0,3.3,3.8,-1.0
H,2.1,3.2,3.6,-1.0
A,2.1,3.1,3.8,-1.0
A,2.15,3.1,3.6,-1.0
A,2.25,3.1,3.4,-1.0
D,2.7,3.0,2.75,2.0
A,2.8,3.0,2.7,-1.0
H,2.2,3.2,3.4,-1.0
H,2.5,3.0,3.0,-1.0
H,2.3,3.1,3.3,-1.0
A,2.0,3.2,4.0,-1.0
H,2.25,3.1,3.4,-1.0
H,2.05,3.1,4.0,-1.0
H,2.0,3.3,3.8,-1.0
A,2.0,3.2,4.0,-1.0
H,2.1,3.1,3.75,-1.0
D,2.0,3.2,4.0,2.2
A,2.15,3.3,3.4,-1.0
H,2.0,3.0,3.75,-1.0
H,2.05,3.25,3.75,-1.0
H,2.45,3.1,3.0,-1.0
H,2.2,3.1,3.5,-1.0
A,2.5,3.1,2.9,-1.0
D,2.1,3.25,3.6,2.25
D,2.5,3.25,2.8,2.25
D,2.05,3.1,4.0,2.1
A,2.3,3.1,3.3,-1.0
D,2.38,3.1,3.1,2.1
H,2.1,3.2,3.6,-1.0
A,2.5,3.2,2.88,-1.0
A,2.45,3.0,3.1,-1.0
A,2.2,3.2,3.4,-1.0
H,2.05,3.1,4.0,-1.0
D,2.0,3.0,4.33,2.0
A,2.6,3.0,2.9,-1.0
H,2.2,3.1,3.5,-1.0
H,2.05,3.1,4.0,-1.0
A,2.1,3.0,4.0,-1.0
A,2.1,3.0,4.0,-1.0
H,2.05,3.1,4.0,-1.0
D,2.05,3.0,4.1,2.0
H,3.1,3.1,2.4,-1.0
H,2.6,3.0,2.9,-1.0
D,2.2,3.1,3.5,2.1
D,2.5,3.0,3.0,2.0
D,2.5,3.0,3.0,2.0
H,2.1,3.2,3.6,-1.0
H,2.2,3.0,3.6,-1.0
D,2.1,3.1,3.8,2.1
D,2.0,3.25,3.9,2.25
H,2.5,3.0,3.0,-1.0
D,2.0,3.1,4.2,2.1
H,2.05,3.1,4.0,-1.0
A,2.0,3.0,4.33,-1.0
A,2.2,3.2,3.4,-1.0
H,2.0,3.3,3.8,-1.0
H,2.05,3.2,3.8,-1.0
H,2.3,3.1,3.3,-1.0
D,2.25,3.1,3.4,2.1
D,3.1,3.0,2.45,2.0
A,2.7,3.0,2.8,-1.0
A,2.05,3.2,3.8,-1.0
D,2.1,3.2,3.6,2.2
H,2.25,3.1,3.4,-1.0
A,2.6,3.1,2.8,-1.0
H,2.05,3.0,4.1,-1.0
H,2.45,3.0,3.1,-1.0
A,2.7,3.0,2.8,-1.0
H,2.6,3.0,2.9,-1.0
D,2.15,3.1,3.6,2.1
H,2.0,3.1,4.2,-1.0
A,2.1,3.1,3.8,-1.0
D,3.3,3.1,2.3,2.1
H,2.15,3.0,3.8,-1.0
H,2.05,3.1,4.0,-1.0
H,2.5,3.0,3.0,-1.0
A,2.0,3.2,4.0,-1.0
H,2.15,3.1,3.6,-1.0
D,2.2,3.1,3.6,2.1
H,2.4,3.1,3.1,-1.0
D,2.3,3.1,3.3,2.1
D,2.05,3.1,4.0,2.1
A,2.2,3.0,3.6,-1.0
D,2.3,3.1,3.3,2.1
H,2.3,3.0,3.4,-1.0
D,2.2,3.1,3.5,2.1
A,2.75,3.1,2.63,-1.0
D,2.25,3.1,3.4,2.1
A,2.25,3.0,3.5,-1.0
D,2.38,3.0,3.25,2.0
H,2.1,3.1,3.75,-1.0
H,2.5,3.0,3.0,-1.0
A,2.45,3.0,3.1,-1.0
H,2.25,3.0,3.5,-1.0
D,2.2,3.0,3.6,2.0
H,3.1,3.0,2.45,-1.0
A,2.05,3.1,4.0,-1.0
A,2.1,3.2,3.6,-1.0
A,2.63,3.1,2.75,-1.0
H,2.1,3.1,3.8,-1.0
D,2.2,3.1,3.5,2.1
D,2.5,3.0,3.0,2.0
H,2.3,3.0,3.4,-1.0
A,2.15,3.25,3.4,-1.0
H,2.05,3.1,4.0,-1.0
D,2.4,3.1,3.1,2.1
D,2.15,3.1,3.6,2.1
H,2.88,3.0,2.63,-1.0
H,2.3,3.0,3.4,-1.0
D,2.2,3.1,3.5,2.1
D,2.25,3.1,3.4,2.1
D,2.2,3.0,3.6,2.0
D,2.5,3.1,2.9,2.1
A,2.5,3.0,3.1,-1.0
H,2.15,3.0,3.75,-1.0
H,2.7,3.0,2.8,-1.0
A,2.55,3.0,3.0,-1.0
H,2.15,3.0,3.75,-1.0
D,2.3,3.0,3.4,2.0
D,2.5,3.1,2.9,2.1
A,3.1,3.1,2.4,-1.0
D,2.5,3.0,3.0,2.0
D,2.1,3.1,3.75,2.1
A,2.0,3.2,4.0,-1.0
H,2.9,3.0,2.6,-1.0
A,2.4,3.0,3.2,-1.0
A,2.88,3.1,2.55,-1.0
A,2.25,3.0,3.5,-1.0
H,2.1,3.1,3.75,-1.0
H,2.0,3.1,4.2,-1.0
A,2.4,3.2,3.0,-1.0
A,2.5,3.3,2.75,-1.0
H,2.45,3.0,3.1,-1.0
H,3.5,3.0,2.25,-1.0
D,2.25,3.1,3.4,2.1
H,2.5,3.0,3.0,-1.0
H,2.0,3.1,4.2,-1.0
H,2.1,3.1,3.8,-1.0
D,2.3,3.1,3.3,2.1
D,2.25,3.1,3.4,2.1
H,2.88,3.2,2.5,-1.0
D,2.15,3.1,3.6,2.1
D,2.3,3.1,3.25,2.1
H,2.1,3.0,4.0,-1.0
H,2.5,3.0,3.0,-1.0
A,2.0,3.2,4.0,-1.0
H,2.4,3.1,3.1,-1.0
A,2.88,3.0,2.63,-1.0
H,2.25,3.1,3.4,-1.0
H,3.1,3.1,2.38,-1.0
D,2.5,3.1,2.9,2.1
H,2.6,3.2,2.75,-1.0
A,2.2,3.1,3.5,-1.0
A,2.3,3.5,2.88,-1.0
H,2.15,3.2,3.25,-1.0
A,3.5,3.25,1.95,-1.0
D,2.7,3.2,2.4,2.2
A,3.0,3.25,2.2,-1.0
H,2.45,3.1,3.0,-1.0
D,2.5,3.0,3.0,2.0
A,2.2,3.0,3.6,-1.0
H,2.15,3.0,3.75,-1.0
A,2.25,3.0,3.5,-1.0
A,2.38,3.0,3.25,-1.0
D,2.1,3.0,4.0,2.0
A,2.5,3.2,2.8,-1.0
D,2.4,3.1,3.1,2.1
H,3.3,3.1,2.3,-1.0
A,2.6,3.2,2.8,-1.0
D,2.0,3.2,4.0,2.2
D,2.1,3.0,4.0,2.0
D,2.4,3.1,3.1,2.1
A,2.4,3.2,3.0,-1.0
A,2.5,3.0,3.0,-1.0
D,2.88,3.2,2.5,2.2
A,2.3,3.1,3.2,-1.0
H,2.05,3.2,3.75,-1.0
A,2.3,3.1,3.3,-1.0
A,2.4,3.1,3.1,-1.0
H,2.25,3.2,3.2,-1.0
H,2.4,3.3,2.9,-1.0
A,2.45,3.1,3.0,-1.0
D,2.38,3.0,3.2,2.0
A,2.1,3.4,3.4,-1.0
H,2.6,3.0,2.88,-1.0
H,2.4,3.1,3.1,-1.0
D,2.3,3.0,3.4,2.0
H,2.3,3.0,3.4,-1.0
D,3.2,3.3,2.25,2.3
D,2.0,3.3,3.8,2.3
H,2.4,3.2,3.0,-1.0
H,2.1,3.1,3.7,-1.0
H,2.2,3.2,3.4,-1.0
H,2.15,3.1,3.6,-1.0
H,2.15,3.0,3.75,-1.0
D,2.7,3.0,2.8,2.0
D,2.0,3.1,4.2,2.1
H,2.2,3.0,3.6,-1.0
D,2.1,3.2,3.6,2.2
H,2.88,3.0,2.63,-1.0
A,2.15,3.1,3.6,-1.0
H,2.5,3.1,2.9,-1.0
H,2.5,3.0,3.0,-1.0
H,2.25,3.1,3.4,-1.0
A,2.38,3.1,3.1,-1.0
A,2.25,3.0,3.5,-1.0
A,2.15,3.1,3.6,-1.0
D,2.25,3.1,3.4,2.1
H,2.05,3.0,4.1,-1.0
D,2.6,3.2,2.7,2.2
H,2.1,3.1,3.75,-1.0
H,2.15,3.3,3.4,-1.0
A,3.0,3.0,2.5,-1.0
H,2.5,3.0,3.0,-1.0
A,3.0,3.0,2.5,-1.0
D,2.05,3.2,3.8,2.2
D,2.7,3.0,2.8,2.0
H,2.25,3.2,3.25,-1.0
D,2.05,3.25,3.75,2.25
H,2.0,3.3,3.8,-1.0
H,2.2,3.2,3.4,-1.0
D,2.0,3.3,3.8,2.3
H,2.0,3.1,4.1,-1.0
D,2.55,3.1,2.88,2.1
A,2.1,3.1,3.75,-1.0
D,2.15,3.1,3.6,2.1
A,2.4,3.1,3.1,-1.0
D,2.87,3.2,2.5,2.2
A,2.0,3.29,3.79,-1.0
D,2.79,3.1,2.6,2.1
A,2.0,3.1,4.2,-1.0
A,2.1,3.1,3.75,-1.0
D,2.0,3.29,3.75,2.29
D,2.87,3.0,2.6,2.0
H,2.6,3.0,2.87,-1.0
D,2.14,3.1,3.6,2.1
D,3.2,3.0,2.39,2.0
D,2.2,3.2,3.39,2.2
H,2.1,3.0,3.89,-1.0
H,2.25,3.0,3.5,-1.0
H,2.87,3.1,2.54,-1.0
D,3.25,3.0,2.37,2.0
A,2.29,3.0,3.39,-1.0
D,2.1,3.2,3.6,2.2
D,2.0,3.0,4.33,2.0
A,2.62,3.1,2.79,-1.0
H,2.0,3.1,4.2,-1.0
A,2.5,3.1,2.89,-1.0
H,2.45,3.0,3.1,-1.0
A,2.54,3.1,2.87,-1.0
A,2.29,3.0,3.39,-1.0
D,2.2,3.29,3.29,2.29
H,2.6,3.0,2.87,-1.0
H,2.14,3.0,3.75,-1.0
A,2.37,3.0,3.2,-1.0
D,2.25,3.0,3.5,2.0
D,2.25,3.1,3.39,2.1
H,2.39,3.0,3.2,-1.0
A,2.0,3.2,4.0,-1.0
D,2.04,3.25,3.75,2.25
H,2.1,3.1,3.79,-1.0
H,2.5,3.0,3.0,-1.0
A,2.7,3.2,2.62,-1.0
H,2.0,3.29,3.79,-1.0
H,2.87,3.0,2.62,-1.0
D,2.25,3.0,3.5,2.0
D,2.62,3.1,2.75,2.1
H,2.29,3.2,3.2,-1.0
H,2.7,3.25,2.6,-1.0
D,2.62,3.1,2.75,2.1
A,2.1,3.2,3.6,-1.0
D,2.87,3.29,2.39,2.29
H,2.04,3.2,3.79,-1.0
D,2.45,3.0,3.1,2.0
H,2.04,3.2,3.79,-1.0
D,2.04,3.0,4.09,2.0
H,2.45,3.0,3.1,-1.0
A,2.7,3.0,2.79,-1.0
H,2.1,3.1,3.75,-1.0
D,2.04,3.1,4.0,2.1
A,2.89,3.1,2.5,-1.0
A,3.29,3.1,2.29,-1.0
H,2.2,3.0,3.6,-1.0
H,2.29,3.0,3.39,-1.0
H,2.35,3.0,3.25,-1.0
H,2.1,3.1,3.75,-1.0
D,2.1,3.0,4.0,2.0
A,3.1,3.25,2.29,-1.0
H,2.2,3.0,3.6,-1.0
H,3.0,3.0,2.5,-1.0
H,2.04,3.1,4.0,-1.0
H,2.1,3.0,4.0,-1.0
A,3.25,3.0,2.37,-1.0
D,2.62,3.0,2.87,2.0
H,3.1,3.39,2.25,-1.0
D,3.1,3.0,2.45,2.0
D,2.5,3.0,3.0,2.0
H,2.2,3.0,3.6,-1.0
H,2.0,3.39,3.75,-1.0
D,2.14,3.29,3.39,2.29
D,2.5,3.0,3.0,2.0
D,2.37,3.0,3.2,2.0
D,3.0,3.0,2.5,2.0
A,2.37,3.0,3.25,-1.0
A,2.0,3.29,3.79,-1.0
H,2.14,3.1,3.6,-1.0
A,3.5,3.2,2.14,-1.0
H,2.1,3.29,3.5,-1.0
A,2.25,3.0,3.5,-1.0
H,2.0,3.1,4.2,-1.0
D,2.35,3.0,3.29,2.0
A,2.37,3.0,3.25,-1.0
A,3.0,3.1,2.45,-1.0
A,2.0,3.0,4.33,-1.0
H,2.1,3.0,4.0,-1.0
H,2.1,3.29,3.5,-1.0
H,2.0,3.29,3.79,-1.0
H,2.89,3.5,2.29,-1.0
H,2.2,3.1,3.5,-1.0
H,2.1,3.0,4.0,-1.0
H,3.0,3.0,2.5,-1.0
A,2.1,3.2,3.6,-1.0
H,2.0,3.0,4.33,-1.0
A,3.0,3.0,2.5,-1.0
D,2.45,3.1,3.0,2.1
H,2.04,3.39,3.6,-1.0
D,2.45,3.0,3.2,2.0
D,2.5,3.0,3.0,2.0
A,2.89,3.0,2.6,-1.0
A,2.62,3.0,2.87,-1.0
D,3.0,3.1,2.45,2.1
H,2.37,3.1,3.1,-1.0
A,2.1,3.1,3.79,-1.0
A,2.39,3.2,3.0,-1.0
H,2.39,3.0,3.2,-1.0
H,2.45,3.2,2.89,-1.0
A,2.5,3.0,3.0,-1.0
D,2.1,3.2,3.6,2.2
D,2.75,3.25,2.54,2.25
H,2.04,3.0,4.09,-1.0
H,2.14,3.2,3.5,-1.0
A,2.62,3.0,2.87,-1.0
H,2.0,3.29,3.79,-1.0
A,2.89,3.1,2.5,-1.0
A,3.39,3.1,2.25,-1.0
H,2.62,3.0,2.87,-1.0
A,2.14,3.0,3.79,-1.0
A,3.0,3.0,2.5,-1.0
A,2.14,3.0,3.75,-1.0
H,2.25,3.0,3.5,-1.0
H,3.29,3.25,2.2,-1.0
A,2.6,3.0,2.87,-1.0
H,2.75,3.0,2.75,-1.0
D,3.25,3.0,2.37,2.0
H,2.6,3.0,2.87,-1.0
A,2.37,3.0,3.25,-1.0
A,2.04,3.2,3.79,-1.0
D,2.87,3.0,2.62,2.0
A,2.04,3.0,4.2,-1.0
A,3.25,3.2,2.25,-1.0
H,2.6,3.25,2.7,-1.0
D,2.04,3.25,3.75,2.25
H,2.37,3.25,3.0,-1.0
H,3.0,3.1,2.45,-1.0
H,2.0,3.2,4.0,-1.0
A,2.54,3.1,2.87,-1.0
A,2.04,3.29,3.6,-1.0
H,2.7,3.1,2.7,-1.0
A,2.62,3.2,2.7,-1.0
H,2.0,3.1,4.2,-1.0
H,2.79,3.1,2.6,-1.0
H,3.39,3.1,2.25,-1.0
H,2.5,3.3,2.8,-1.0
H,2.04,3.1,4.0,-1.0
H,3.2,3.1,2.35,-1.0
H,2.6,3.0,2.9,-1.0
D,2.25,3.0,3.5,2.0
D,2.7,3.0,2.8,2.0
D,2.0,3.0,4.33,2.0
H,2.45,3.1,3.0,-1.0
H,2.14,3.0,3.75,-1.0
H,2.0,3.4,3.75,-1.0
A,3.4,3.4,1.95,-1.0
H,2.0,3.3,3.5,-1.0
H,2.2,3.1,3.5,-1.0
D,2.9,3.0,2.6,2.0
D,2.4,3.2,3.0,2.2
D,2.4,3.1,3.1,2.1
D,2.4,3.0,3.2,2.0
A,3.0,3.0,2.5,-1.0
H,2.25,3.0,3.5,-1.0
D,2.62,3.1,2.75,2.1
A,2.5,3.0,3.0,-1.0
A,2.8,3.3,2.45,-1.0
D,2.2,3.0,3.6,2.0
A,2.1,3.1,3.8,-1.0
H,2.1,3.1,3.8,-1.0
H,2.0,3.1,4.2,-1.0
A,2.0,3.0,4.33,-1.0
H,2.1,3.0,4.0,-1.0
H,2.62,3.0,2.87,-1.0
H,3.25,3.1,2.3,-1.0
A,2.62,3.0,2.87,-1.0
D,2.87,3.0,2.6,2.0
H,2.25,3.0,3.5,-1.0
A,2.04,3.2,3.75,-1.0
H,2.3,3.0,3.4,-1.0
A,2.04,3.2,3.75,-1.0
D,2.1,3.0,4.0,2.0
D,2.37,3.1,3.1,2.1
D,2.25,3.0,3.5,2.0
H,2.2,3.2,3.4,-1.0
H,2.14,3.0,3.8,-1.0
D,2.4,3.0,3.2,2.0
A,3.5,3.0,2.25,-1.0
H,2.37,3.1,3.1,-1.0
H,2.37,3.0,3.25,-1.0
H,2.1,3.0,3.9,-1.0
D,2.14,3.0,3.8,2.0
A,3.5,3.0,2.25,-1.0
H,3.2,3.0,2.4,-1.0
H,2.25,3.0,3.5,-1.0
H,3.1,3.0,2.45,-1.0
H,2.3,3.0,3.4,-1.0
D,2.1,3.0,4.0,2.0
D,2.4,3.0,3.2,2.0
D,2.25,3.0,3.5,2.0
H,2.25,3.1,3.4,-1.0
A,2.25,3.1,3.4,-1.0
H,2.1,3.1,3.75,-1.0
D,2.2,3.0,3.6,2.0
H,2.3,3.1,3.25,-1.0
D,2.04,3.0,4.1,2.0
A,2.45,3.0,3.1,-1.0
D,2.5,3.0,3.0,2.0
A,3.2,3.1,2.37,-1.0
A,2.62,3.1,2.75,-1.0
H,2.54,3.1,2.9,-1.0
D,2.0,3.2,4.0,2.2
D,2.3,3.1,3.3,2.1
H,2.14,3.0,3.8,-1.0
A,2.25,3.0,3.5,-1.0
A,2.87,3.0,2.62,-1.0
H,2.0,3.1,4.2,-1.0
A,2.14,3.1,3.6,-1.0
D,2.25,3.0,3.5,2.0
A,2.0,3.1,4.2,-1.0
D,2.6,3.0,2.9,2.0
A,2.5,3.0,3.0,-1.0
H,2.45,3.0,3.1,-1.0
A,2.04,3.1,4.0,-1.0
D,2.9,3.1,2.5,2.1
H,2.0,3.1,4.2,-1.0
D,2.0,3.2,4.0,2.2
A,2.3,3.2,3.1,-1.0
H,2.4,3.3,2.87,-1.0
D,2.1,3.2,3.6,2.2
D,2.5,3.0,3.0,2.0
H,2.75,3.1,2.62,-1.0
H,2.3,3.1,3.25,-1.0
H,2.45,3.2,2.9,-1.0
H,2.05,3.1,4.0,-1.0
A,2.1,3.1,3.75,-1.0
D,2.75,3.0,2.75,2.0
D,2.2,3.1,3.5,2.1
H,2.3,3.0,3.4,-1.0
H,2.0,3.1,4.2,-1.0
D,2.1,3.0,4.0,2.0
A,2.8,3.0,2.7,-1.0
D,2.3,3.0,3.4,2.0
H,2.1,3.0,4.0,-1.0
D,2.9,3.0,2.6,2.0
A,2.45,3.1,3.0,-1.0
A,2.37,3.0,3.2,-1.0
A,2.37,3.0,3.25,-1.0
A,2.45,3.1,3.1,-1.0
H,2.15,3.1,3.75,-1.0
A,2.4,3.0,3.2,-1.0
A,3.3,3.0,2.3,-1.0
H,2.0,3.2,4.0,-1.0
D,2.1,3.0,3.9,2.0
H,2.05,3.0,4.0,-1.0
H,2.0,3.1,4.2,-1.0
D,2.75,3.0,2.75,2.0
D,2.2,3.1,3.5,2.1
D,2.25,3.0,3.5,2.0
H,2.25,3.0,3.5,-1.0
A,2.37,3.0,3.25,-1.0
D,2.2,3.1,3.5,2.1
A,2.5,3.0,3.0,-1.0
A,2.0,3.0,4.33,-1.0
D,2.1,3.0,4.0,2.0
H,2.0,3.3,3.8,-1.0
A,3.0,3.0,2.5,-1.0
A,2.0,3.1,4.2,-1.0
A,2.45,3.0,3.2,-1.0
H,2.4,3.0,3.2,-1.0
D,2.25,3.0,3.5,2.0
H,3.2,3.1,2.3,-1.0
D,2.6,3.0,2.9,2.0
A,2.15,3.2,3.5,-1.0
H,2.25,3.1,3.4,-1.0
H,2.05,3.1,4.0,-1.0
D,2.3,3.1,3.25,2.1
A,2.3,3.0,3.4,-1.0
H,2.75,3.0,2.75,-1.0
H,2.25,3.1,3.4,-1.0
H,2.0,3.1,4.2,-1.0
D,2.0,3.0,4.33,2.0
A,2.37,3.1,3.1,-1.0
A,2.05,3.2,3.75,-1.0
D,2.45,3.1,3.1,2.1
A,2.0,3.0,4.33,-1.0
H,2.1,3.0,3.4,-1.0
D,3.0,3.0,2.5,2.0
A,2.75,3.0,2.37,-1.0
A,2.2,3.0,3.6,-1.0
A,2.75,3.2,2.6,-1.0
A,3.2,3.1,2.37,-1.0
A,2.2,3.2,3.4,-1.0
H,2.3,3.2,3.1,-1.0
A,2.0,3.25,4.0,-1.0
A,2.9,3.3,2.4,-1.0
D,3.0,3.2,2.45,2.2
D,3.0,3.1,2.45,2.1
A,2.45,3.1,3.0,-1.0
H,2.15,3.2,3.5,-1.0
A,2.37,3.1,3.1,-1.0
